year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,1314399.0,6535.68,64426.71,29349.05
2018,1313886.12,6534.65,64426.71,29349.05
2019,1313373.23,6533.59,64426.71,29349.05
2020,1312796.23,6532.38,64426.71,28154.17
2021,1312155.13,6531.0,64426.71,28154.17
2022,1311514.02,6529.62,64426.71,28154.17
2023,1310872.91,6528.3,64426.71,28154.17
2024,1310231.8,6526.95,64426.71,26959.29
2025,1309526.58,6525.42,64426.71,26959.29
2026,1308629.03,6523.57,64426.71,26959.29
2027,1307603.26,6521.42,64426.71,26959.29
2028,1306449.27,6519.03,64426.71,25764.41
2029,1305359.38,6516.72,64426.71,25764.41
2030,1304141.28,6514.15,64426.71,24569.53
2031,1302794.95,6511.36,64426.71,24569.53
2032,1301320.41,6508.27,64426.71,23374.65
2033,1299781.75,6505.06,64426.71,23374.65
2034,1298243.09,6501.78,64426.71,22179.77
2035,1296640.32,6498.5,64426.71,22179.77
2036,1295101.66,6495.24,64426.71,20984.9
2037,1293563.0,6492.0,64426.71,20984.9
2038,1292024.34,6488.74,64426.71,19790.02
2039,1290421.57,6485.46,64426.71,19790.02
2040,1288882.92,6482.19,64426.71,18595.14
