year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,37185.0,35492.9413009
2018,37185.0,35492.9413009
2019,37185.0,35492.9413009
2020,35785.0,34092.9413009
2021,35785.0,34092.9413009
2022,35785.0,34092.9413009
2023,34384.0,32691.9413009
2024,34384.0,32691.9413009
2025,32984.0,31291.9413009
2026,32984.0,31291.9413009
2027,31584.0,29891.9413009
2028,31584.0,29891.9413009
2029,30183.0,28490.9413009
2030,28783.0,27090.9413009
2031,28783.0,27090.9413009
2032,27382.0,25689.9413009
2033,27382.0,25689.9413009
2034,25982.0,24289.9413009
2035,25982.0,24289.9413009
2036,25982.0,24289.9413009
