year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,228000.0,12000.0,216000.0
2004,,209000.0,3000.0,206000.0
2005,,228000.0,12000.0,216000.0
2006,,217000.0,12000.0,205000.0
2007,,217000.0,12000.0,205000.0
2008,,180000.0,0.0,180000.0
2009,,276000.0,0.0,276000.0
2010,,145000.0,1000.0,144000.0
2011,,400000.0,0.0,400000.0
2012,start of forecast,269888.0,-3445.0,273333.0
2013,,278083.0,4750.0,273333.0
2014,,278078.0,4745.0,273333.0
2015,,278056.0,4723.0,273333.0
2016,,278015.0,4682.0,273333.0
2017,,277957.0,4623.0,273333.0
2018,,277883.0,4549.0,273333.0
2019,,277767.0,4434.0,273333.0
2020,,277641.0,4307.0,273333.0
2021,,277514.0,4181.0,273333.0
2022,,277371.0,4037.0,273333.0
2023,,277207.0,3874.0,273333.0
2024,,277040.0,3706.0,273333.0
2025,,276879.0,3545.0,273333.0
2026,,276703.0,3370.0,273333.0
2027,,276539.0,3206.0,273333.0
2028,,276375.0,3042.0,273333.0
2029,,276179.0,2845.0,273333.0
2030,,275985.0,2652.0,273333.0
2031,,275804.0,2471.0,273333.0
2032,,275644.0,2311.0,273333.0
2033,,275486.0,2153.0,273333.0
2034,,275345.0,2011.0,273333.0
2035,,275199.0,1866.0,273333.0
2036,,275054.0,1721.0,273333.0
2037,,274907.0,1574.0,273333.0
2038,,274775.0,1441.0,273333.0
2039,,274650.0,1317.0,273333.0
2040,,274531.0,1198.0,273333.0
