year,Base case cost,Modeled biomass for heat (cordwood)
2017,109419.109039,110277.726603
2018,119830.909039,120215.750167
2019,134333.059039,134057.997275
2020,135716.774458,135137.142127
2021,140368.824458,139569.224497
2022,143947.324458,142978.518627
2023,140718.597316,139631.347376
2024,142781.637316,141592.863854
2025,139276.932735,137969.715164
2026,141915.652735,140473.070468
2027,138102.948154,136541.921778
2028,139997.988154,138335.438256
2029,135900.781012,134119.787005
2030,131036.346431,129170.749489
2031,133626.816431,131608.934206
2032,129313.149289,127159.902368
2033,131777.529289,129471.997085
2034,127378.324708,124920.507221
2035,128937.244708,126377.903699
2036,131535.444708,128806.897829
