year,Base case cost,Modeled biomass for heat (pellet)
2017,109419.109039,112308.677481
2018,119830.909039,122146.903503
2019,134333.059039,135871.969015
2020,135716.774458,136870.665301
2021,140368.824458,141231.931073
2022,143947.324458,144576.628997
2023,140718.597316,141171.055113
2024,142781.637316,143076.952225
2025,139276.932735,139397.557743
2026,141915.652735,141844.015855
2027,138102.948154,137858.678297
2028,139997.988154,139600.690415
2029,135900.781012,135332.811933
2030,131036.346431,130335.877775
2031,133626.816431,132720.321906
2032,129313.149289,128220.144166
2033,131777.529289,130480.282394
2034,127378.324708,125877.696852
2035,128937.244708,127289.914464
2036,131535.444708,129667.782428
