year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,6493.30050745,4805.04237551
2018,6493.30050745,4805.04237551
2019,6493.30050745,4805.04237551
2020,6493.30050745,4805.04237551
2021,6493.30050745,4805.04237551
2022,6493.30050745,4805.04237551
2023,6493.30050745,4805.04237551
2024,6493.30050745,4805.04237551
2025,6493.30050745,4805.04237551
2026,6493.30050745,4805.04237551
2027,6493.30050745,4805.04237551
2028,6493.30050745,4805.04237551
2029,6493.30050745,4805.04237551
2030,6493.30050745,4805.04237551
2031,6493.30050745,4805.04237551
