year,Base case cost,Modeled diesel efficiency
2019,68495.0,214160.912529
2020,72893.3333333,214599.411497
2021,76230.0,214156.196125
2022,78796.6666667,213094.462368
2023,80593.3333333,211412.30049
2024,82133.3333333,209574.512181
2025,83930.0,208045.94289
2026,85704.1666667,206571.026152
2027,87495.0,205183.631114
2028,89030.0,203634.334373
2029,90820.8333333,202386.630975
2030,92100.0,200741.176094
2031,94095.0,199812.299094
2032,96135.0,198988.608839
2033,98430.0,198459.507926
2034,100725.0,197991.706966
2035,102255.0,196888.314681
2036,104805.0,196770.65531
2037,105733.333333,195235.843553
2038,108275.0,195223.450433
