year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,37185.0,35323.735431
2018,37185.0,35323.735431
2019,37185.0,35323.735431
2020,35785.0,33923.735431
2021,35785.0,33923.735431
2022,35785.0,33923.735431
2023,34384.0,32522.735431
2024,34384.0,32522.735431
2025,32984.0,31122.735431
2026,32984.0,31122.735431
2027,31584.0,29722.735431
2028,31584.0,29722.735431
2029,30183.0,28321.735431
2030,28783.0,26921.735431
2031,28783.0,26921.735431
2032,27382.0,25520.735431
2033,27382.0,25520.735431
2034,25982.0,24120.735431
2035,25982.0,24120.735431
2036,25982.0,24120.735431
