year,Base case cost,"New stuyahok wind-feasibility analysis, resources assessment & conceptual design",Modeled wind power
2019,424601.851077,637395.817057,623012.877896
2020,445394.209763,653641.252778,638752.672712
2021,460714.895111,665611.573835,650350.416261
2022,471976.92979,674480.491163,658953.206797
2023,478547.374288,679615.065251,663928.104809
2024,485445.379771,685077.200324,669230.563807
2025,493116.07426,691072.712667,675039.787396
2026,501882.582247,697924.726774,681678.900069
2027,509553.276735,703920.239117,687488.123657
2028,516128.157725,709059.249697,692467.458162
2029,524152.292735,715408.202561,698630.122272
2030,529635.057303,719694.408454,702783.264769
2031,538407.480613,726552.337883,709428.292764
2032,548276.456836,734267.508491,716903.949259
2033,557048.880145,741125.43792,723548.977254
2034,567300.134086,749222.886246,731406.911468
2035,574657.316481,755144.19823,737168.547377
2036,583054.856225,761627.244094,743438.691807
2037,590040.112716,767176.630174,748828.401812
2038,600332.773915,775315.485758,756727.743283
