year,Base case cost,Modeled water and wastewater efficiency
2017,96732.0177764,92202.3084654
2018,101651.477402,95651.1143547
2019,108470.801304,100431.682255
2020,111495.408631,102552.285503
2021,113710.494143,104104.998546
2022,115312.871472,105228.685074
2023,116289.380067,105913.813319
2024,117249.236857,106586.883058
2025,118375.30552,107376.642402
2026,119652.11711,108271.893522
2027,120758.863629,109047.664571
2028,121708.760876,109713.520965
2029,122846.16555,110511.472382
2030,123661.505676,111083.538539
2031,124946.698596,111984.841267
