year,Base case diesel consumed,"New stuyahok wind-feasibility analysis, resources assessment & conceptual design",Modeled wind power
2019,109433.466772,81316.5420401,78189.7973447
2020,109433.466772,81316.5420401,78189.7973447
2021,109433.466772,81316.5420401,78189.7973447
2022,109507.408304,81390.4835717,78263.7388763
2023,109507.408304,81390.4835717,78263.7388763
2024,109581.349836,81464.4251033,78337.6804079
2025,109581.349836,81464.4251033,78337.6804079
2026,109581.349836,81464.4251033,78337.6804079
2027,109581.349836,81464.4251033,78337.6804079
2028,109581.349836,81464.4251033,78337.6804079
2029,109655.291367,81538.3666349,78411.6219395
2030,109655.291367,81538.3666349,78411.6219395
2031,109655.291367,81538.3666349,78411.6219395
2032,109655.291367,81538.3666349,78411.6219395
2033,109655.291367,81538.3666349,78411.6219395
2034,109729.232899,81612.3081665,78485.5634711
2035,109877.115962,81760.1912297,78633.4465343
2036,109803.17443,81686.2496981,78559.5050027
2037,109877.115962,81760.1912297,78633.4465343
2038,109951.057494,81834.1327613,78707.3880659
