year,Base case diesel consumed,Modeled transmission and interties
2021,218866.933545,109433.466772
2022,219014.816608,109507.408304
2023,219014.816608,109507.408304
2024,219162.699671,109581.349836
2025,219162.699671,109581.349836
2026,219162.699671,109581.349836
2027,219162.699671,109581.349836
2028,219162.699671,109581.349836
2029,219310.582734,109655.291367
2030,219310.582734,109655.291367
2031,219310.582734,109655.291367
2032,219310.582734,109655.291367
2033,219310.582734,109655.291367
2034,219458.465797,109729.232899
2035,219754.231924,109877.115962
2036,219606.348861,109803.17443
2037,219754.231924,109877.115962
2038,219902.114987,109951.057494
2039,220049.99805,110024.999025
2040,219902.114987,109951.057494
