year,Base case cost,Modeled solar power (pv)
2016,296564.694953,310162.072584
2017,343388.909256,356327.111882
2018,377545.460365,390028.225141
2019,424601.851077,436445.461351
2020,445394.209763,456988.895579
2021,460714.895111,472143.509382
2022,471976.92979,483304.82215
2023,478547.374288,489838.361299
2024,485445.379771,496700.497863
2025,493116.07426,504321.150334
2026,501882.582247,513023.793836
2027,509553.276735,520647.052626
2028,516128.157725,527190.548307
2029,524152.292735,535169.546241
2030,529635.057303,540637.553142
2031,538407.480613,549352.479642
2032,548276.456836,559150.981254
2033,557048.880145,567868.777599
2034,567300.134086,578052.617959
2035,574657.316481,585386.01141
