year,Base case diesel consumed,Modeled solar power (pv)
2016,140662.335482,138801.799106
2017,140874.816352,139029.164267
2018,141087.297221,139256.410353
2019,141158.124177,139341.884404
2020,141299.77809,139498.068235
2021,141441.432003,139654.135827
2022,141583.085916,139810.088109
2023,141724.739829,139965.926004
2024,141795.566785,140050.823471
2025,141937.220698,140206.435331
2026,142078.874611,140361.935527
2027,142220.528524,140517.324952
2028,142362.182437,140672.604494
2029,142362.182437,140686.121117
2030,142433.009393,140770.356564
2031,142503.83635,140854.484743
2032,142787.144175,141150.987382
2033,143070.452001,141447.384462
2034,143353.759827,141743.676828
2035,143566.240696,141969.038361
