year,Base case cost,"Chatham (chatham creek; 57.31', 134.57')",Thayer lake hydropower development (tlhd) generation -- thayer creek
2020,394226.380872,,1120045.15994
2021,413008.981449,1297407.59917,1128749.19444
2022,426165.088607,1309544.27796,1134927.83278
2023,436512.198673,1319098.49929,1139848.02265
2024,445238.079706,1327144.76141,1143922.2578
2025,454199.106234,1335426.16903,1148231.63845
2026,466018.708724,1346339.61297,1153849.04643
2027,476438.770555,1355966.78607,1158842.18807
2028,485455.042109,1364303.43871,1163206.81374
2029,496844.016704,1374786.25476,1168393.59383
2030,502788.523158,1380277.68194,1171237.00303
2031,515863.887586,1392333.618,1177334.89863
2032,528312.433449,1403876.00531,1183581.24999
2033,542237.013084,1416781.15658,1190528.3608
2034,556212.588128,1429737.30326,1197526.46703
2035,565650.988343,1438496.08456,1202313.22136
2036,579713.680544,1451539.3484,1209398.44474
2037,587773.079916,1459032.39868,1213581.47254
2038,603067.452889,1473194.07346,1221123.10238
2039,614370.726867,1483704.45871,1226999.45616
2040,630058.897718,1498259.93137,1234934.88388
2041,631599.38402,1499800.41768,1236475.37018
2042,633139.870322,1501340.90398,1238015.85648
2043,634372.259364,1502573.29302,1239248.24553
2044,635912.745667,1504113.77932,1240788.73183
2045,637453.231969,1505654.26563,1242329.21813
2046,638993.718272,1507194.75193,1243869.70443
2047,640534.204574,1508735.23823,1245410.19074
2048,642074.690877,1510275.72453,1246950.67704
2049,643615.177179,1511816.21084,1248491.16334
2050,645463.760742,1513664.7944,1250339.7469
