year,Base case diesel consumed,"Chatham (chatham creek; 57.31', 134.57')",Thayer lake hydropower development (tlhd) generation -- thayer creek
2020,141299.77809,,55480.3901938
2021,141441.432003,128902.971319,55622.0441067
2022,141583.085916,129044.625232,55763.6980196
2023,141724.739829,129186.279144,55905.3519325
2024,141795.566785,129257.106101,55976.1788889
2025,141937.220698,129398.760014,56117.8328018
2026,142078.874611,129540.413927,56259.4867146
2027,142220.528524,129682.06784,56401.1406275
2028,142362.182437,129823.721752,56542.7945404
2029,142362.182437,129823.721752,56542.7945404
2030,142433.009393,129894.548709,56613.6214968
2031,142503.83635,129965.375665,56684.4484533
2032,142787.144175,130248.683491,56967.756279
2033,143070.452001,130531.991317,57251.0641048
2034,143353.759827,130815.299142,57534.3719305
2035,143566.240696,131027.780012,57746.8527998
2036,143849.548522,131311.087838,58030.1606256
2037,144062.029391,131523.568707,58242.6414949
2038,144274.510261,131736.049576,58455.1223642
2039,144557.818086,132019.357402,58738.4301899
2040,144841.125912,132302.665228,59021.7380157
2041,145195.260694,132656.80001,59375.8727978
2042,145549.395476,133010.934792,59730.00758
2043,145832.703302,133294.242618,60013.3154058
2044,146186.838084,133648.3774,60367.4501879
2045,146540.972867,134002.512182,60721.5849701
2046,146895.107649,134356.646964,61075.7197523
2047,147249.242431,134710.781746,61429.8545345
2048,147603.377213,135064.916529,61783.9893167
2049,147957.511995,135419.051311,62138.1240989
2050,148382.473734,135844.013049,62563.0858375
