year,Base case cost,Grayling (grayling creek),Grayling (creek nw of town) -- unnamed creek,"Grayling (n. fork grayling creek) -- grayling creek, north fork"
2021,211855.605324,1400297.28555,902095.250134,724763.839187
2022,218196.878325,1401538.06418,903165.687904,726203.721963
2023,223424.377342,1402940.19243,904440.060499,727755.17831
2024,226801.892836,1403767.46074,905182.158377,728681.998691
2025,232076.278941,1405216.47607,906503.41806,730280.342127
2026,237380.277943,1406695.10429,907854.290639,731908.298461
2027,242713.889843,1408203.34542,909234.776117,733565.867692
2028,247060.405155,1409574.57235,910506.637544,735053.238705
2029,252449.952529,1411138.74895,911943.058495,736766.74341
2030,256334.177605,1412472.72684,913191.865956,738200.273373
2031,261870.966886,1413759.10415,914336.292546,739652.5708
2032,267852.772213,1415490.4975,915925.735181,741549.884272
2033,273867.480759,1417254.79407,917548.081035,743480.100964
2034,280432.495654,1419144.3558,919281.496968,745552.174818
2035,284957.510932,1420694.0827,920731.858362,747218.045798
2036,291588.332266,1422649.45086,922531.080735,749355.926092
2037,295643.654084,1424154.52549,923950.984938,750960.552797
2038,301864.007753,1425699.42599,925339.739646,752687.965426
2039,307536.522815,1427546.57028,927059.128285,754684.437819
2040,314291.553803,1429626.1481,928982.560312,756946.527767
2041,314782.634356,1430117.22865,929473.640865,757437.60832
2042,315764.795462,1431099.38976,930455.80197,758419.769425
2043,316255.876014,1431590.47031,930946.882523,758910.849978
2044,316746.956567,1432081.55086,931437.963076,759401.930531
2045,317238.03712,1432572.63142,931929.043629,759893.011084
2046,317729.117673,1433063.71197,932420.124182,760384.091637
2047,318220.198226,1433554.79252,932911.204734,760875.172189
2048,318711.278779,1434045.87307,933402.285287,761366.252742
2049,319202.359331,1434536.95363,933893.36584,761857.333295
2050,319693.439884,1435028.03418,934384.446393,762348.413848
