year,Base case diesel consumed,Grayling (grayling creek),Grayling (creek nw of town) -- unnamed creek,"Grayling (n. fork grayling creek) -- grayling creek, north fork"
2021,49848.3777232,9211.95301226,7854.82110361,10798.2463953
2022,49930.6357722,9294.2110613,7937.07915266,10880.5044443
2023,50095.1518703,9458.7271594,8101.59525075,11045.0205424
2024,50177.4099194,9540.98520845,8183.8532998,11127.2785915
2025,50341.9260175,9705.50130655,8348.3693979,11291.7946896
2026,50506.4421156,9870.01740464,8512.88549599,11456.3107877
2027,50670.9582137,10034.5335027,8677.40159409,11620.8268858
2028,50835.4743118,10199.0496008,8841.91769219,11785.3429839
2029,50999.9904099,10363.5656989,9006.43379028,11949.859082
2030,51164.506508,10528.081797,9170.94988838,12114.3751801
2031,51246.764557,10610.3398461,9253.20793743,12196.6332291
2032,51411.2806551,10774.8559442,9417.72403552,12361.1493272
2033,51575.7967532,10939.3720423,9582.24013362,12525.6654253
2034,51740.3128513,11103.8881404,9746.75623172,12690.1815234
2035,51904.8289494,11268.4042385,9911.27232981,12854.6976215
2036,52069.3450475,11432.9203366,10075.7884279,13019.2137196
2037,52233.8611456,11597.4364347,10240.304526,13183.7298177
2038,52316.1191946,11679.6944837,10322.5625751,13265.9878667
2039,52480.6352927,11844.2105818,10487.0786731,13430.5039648
2040,52645.1513908,12008.7266799,10651.5947712,13595.0200629
2041,52727.4094399,12090.9847289,10733.8528203,13677.278112
2042,52891.925538,12255.500827,10898.3689184,13841.7942101
2043,52974.183587,12337.7588761,10980.6269674,13924.0522591
2044,53056.4416361,12420.0169251,11062.8850165,14006.3103082
2045,53138.6996851,12502.2749742,11145.1430655,14088.5683572
2046,53220.9577342,12584.5330232,11227.4011146,14170.8264063
2047,53303.2157832,12666.7910723,11309.6591636,14253.0844553
2048,53385.4738323,12749.0491213,11391.9172127,14335.3425044
2049,53467.7318813,12831.3071704,11474.1752617,14417.6005534
2050,53549.9899303,12913.5652194,11556.4333108,14499.8586024
