year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,235978.46,9407.56,284681.09,195299.23
2018,235832.82,9417.49,284681.09,197784.34
2019,235846.62,9427.58,284681.09,201512.01
2020,236086.51,9437.42,284681.09,203997.12
2021,236100.24,9446.87,284681.09,206482.24
2022,236167.1,9456.17,284681.09,210209.9
2023,236251.65,9465.68,284681.09,212695.01
2024,236306.69,9474.95,284681.09,215180.13
2025,236375.51,9484.18,284681.09,218907.79
2026,236444.98,9493.53,284681.09,221392.91
2027,236509.42,9502.65,284681.09,223878.02
2028,236577.0,9511.61,284681.09,226363.13
2029,236644.16,9522.7,284681.09,230090.8
2030,236777.41,9533.33,284681.09,233818.46
2031,236844.45,9543.3,284681.09,236303.57
2032,236911.32,,,238788.69
2033,236978.09,,,241273.8
2034,236978.13,,,243758.91
2035,237044.98,,,246244.02
2036,237111.81,,,248729.13
