year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9407.55905298,6114.91338443
2018,9417.4869012,6121.36648578
2019,9427.57501592,6127.92376035
2020,9437.42226385,6134.3244715
2021,9446.86651029,6140.46323169
2022,9456.16943933,6146.51013556
2023,9465.68427775,6152.69478054
2024,9474.94570564,6158.71470866
2025,9484.18071157,6164.71746252
2026,9493.53168052,6170.79559234
2027,9502.64525223,6176.71941395
2028,9511.61350321,6182.54877709
2029,9522.69524345,6189.75190824
2030,9533.32941183,6196.66411769
2031,9543.30343175,6203.14723064
