year,Base case diesel consumed,Modeled residential ashp
2017,210733.679663,15434.4462555
2018,213415.188997,18115.9555888
2019,217437.452997,22138.2195888
2020,220118.96233,24819.7289221
2021,222800.471663,27501.2382554
2022,226822.735663,31523.5022554
2023,229504.244997,34205.0115888
2024,232185.75433,36886.5209221
2025,236208.01833,40908.7849221
2026,238889.527663,43590.2942554
2027,241571.036997,46271.8035887
2028,244252.54633,48953.3129221
2029,248274.81033,52975.5769221
2030,252297.07433,56997.840922
2031,254978.583663,59679.3502554
