year,Base case cost,Modeled biomass for heat (cordwood)
2017,149477.843544,174051.503718
2018,158615.923544,180808.349374
2019,171343.963544,190219.67011
2020,177218.443544,194563.356603
2021,181461.123544,197700.463515
2022,184398.363544,199872.306761
2023,186682.883544,201561.518176
2024,188314.683544,202768.097757
2025,190272.843544,204215.993255
2026,192883.723544,206146.520585
2027,195168.243544,207835.731999
2028,196800.043544,209042.311581
2029,199410.923544,210972.838911
2030,200716.363544,211938.102576
2031,203327.243544,213868.629907
2032,,
2033,,
2034,,
2035,,
2036,,
