year,Base case cost,Modeled residential energy efficiency
2017,345065.419026,348028.445272
2018,375995.074718,377533.919318
2019,417314.556558,416869.71958
2020,441524.732391,440164.350069
2021,461867.951721,459846.342206
2022,469906.100771,467426.718584
2023,485372.825564,482537.397966
2024,499219.59553,496129.84978
2025,514175.683838,510780.756307
2026,521719.826453,517917.989881
2027,537968.163672,533810.281689
2028,552496.765753,548084.565618
2029,560306.989194,555487.880018
2030,574142.024222,569119.460525
2031,592148.251796,586718.779057
2032,610420.560196,604584.178415
2033,618629.904875,612386.614053
2034,638344.13265,631643.069156
2035,654119.988601,647164.606956
2036,663654.842294,656241.687977
