year,Base case cost,False pass hydroelectric feasibility study and conceptual design
2021,165504.48673,374345.736373
2022,170984.767747,371148.316911
2023,174820.96446,367276.851141
2024,178369.907789,363530.509198
2025,181662.890702,359660.207673
2026,186602.365072,356733.679534
2027,190444.17847,353389.792964
2028,193737.161383,349897.219628
2029,198127.805267,347067.944565
2030,200323.127209,343269.421292
2031,205262.601579,340943.501096
2032,210202.075948,338729.389955
2033,215141.550318,336624.4673
2034,220081.024687,334626.174094
2035,223374.0076,331917.14479
2036,228862.312455,330396.293725
2037,231606.464883,327616.638432
2038,237094.769738,326292.072607
2039,240936.583137,324247.346392
2040,246973.718477,323381.594925
2041,246973.718477,319618.318779
2042,246973.718477,315943.244414
2043,246973.718477,312354.30462
2044,247334.791165,309210.553277
2045,247334.791165,305787.873573
2046,247334.791165,302445.412919
2047,247334.791165,299181.291196
2048,247334.791165,295993.672325
2049,247334.791165,292880.763242
2050,247334.791165,289840.812987
2051,247334.791165,286872.111571
2052,247334.791165,283972.989091
2053,247334.791165,281141.814806
2054,247334.791165,278376.996144
2055,247334.791165,275676.977929
2056,247334.791165,273040.241393
2057,247334.791165,270465.303373
2058,247334.791165,267950.715453
2059,247334.791165,265495.063207
2060,247334.791165,263096.965294
2061,247334.791165,260755.072803
2062,247334.791165,258468.068418
2063,247334.791165,256234.665691
2064,247334.791165,254053.608361
2065,247334.791165,251923.669546
2066,247334.791165,249843.651165
2067,247334.791165,247812.383232
2068,247334.791165,245828.723125
2069,247334.791165,243891.555056
2070,247334.791165,241999.78937
