year,Base case diesel consumed,Modeled diesel efficiency
2019,54802.8101754,49820.7365231
2020,54802.8101754,49820.7365231
2021,54802.8101754,49820.7365231
2022,54802.8101754,49820.7365231
2023,54802.8101754,49820.7365231
2024,54883.0485505,49893.6805004
2025,54883.0485505,49893.6805004
2026,54883.0485505,49893.6805004
2027,54883.0485505,49893.6805004
2028,54883.0485505,49893.6805004
2029,54883.0485505,49893.6805004
2030,54883.0485505,49893.6805004
2031,54883.0485505,49893.6805004
2032,54883.0485505,49893.6805004
2033,54883.0485505,49893.6805004
2034,54883.0485505,49893.6805004
2035,54883.0485505,49893.6805004
2036,54883.0485505,49893.6805004
2037,54883.0485505,49893.6805004
2038,54883.0485505,49893.6805004
