year,Base case diesel consumed,False pass hydroelectric feasibility study and conceptual design
2021,54802.8101754,23902.9316961
2022,54802.8101754,23902.9316961
2023,54802.8101754,23902.9316961
2024,54883.0485505,23983.1700712
2025,54883.0485505,23983.1700712
2026,54883.0485505,23983.1700712
2027,54883.0485505,23983.1700712
2028,54883.0485505,23983.1700712
2029,54883.0485505,23983.1700712
2030,54883.0485505,23983.1700712
2031,54883.0485505,23983.1700712
2032,54883.0485505,23983.1700712
2033,54883.0485505,23983.1700712
2034,54883.0485505,23983.1700712
2035,54883.0485505,23983.1700712
2036,54883.0485505,23983.1700712
2037,54883.0485505,23983.1700712
2038,54883.0485505,23983.1700712
2039,54883.0485505,23983.1700712
2040,54883.0485505,23983.1700712
2041,54883.0485505,23983.1700712
2042,54883.0485505,23983.1700712
2043,54883.0485505,23983.1700712
2044,54963.2869255,24063.4084463
2045,54963.2869255,24063.4084463
2046,54963.2869255,24063.4084463
2047,54963.2869255,24063.4084463
2048,54963.2869255,24063.4084463
2049,54963.2869255,24063.4084463
2050,54963.2869255,24063.4084463
2051,54963.2869255,24063.4084463
2052,54963.2869255,24063.4084463
2053,54963.2869255,24063.4084463
2054,54963.2869255,24063.4084463
2055,54963.2869255,24063.4084463
2056,54963.2869255,24063.4084463
2057,54963.2869255,24063.4084463
2058,54963.2869255,24063.4084463
2059,54963.2869255,24063.4084463
2060,54963.2869255,24063.4084463
2061,54963.2869255,24063.4084463
2062,54963.2869255,24063.4084463
2063,54963.2869255,24063.4084463
2064,54963.2869255,24063.4084463
2065,54963.2869255,24063.4084463
2066,54963.2869255,24063.4084463
2067,54963.2869255,24063.4084463
2068,54963.2869255,24063.4084463
2069,54963.2869255,24063.4084463
2070,54963.2869255,24063.4084463
