year,Base case cost,Modeled solar power (pv)
2016,89876.6086877,97009.5200339
2017,110701.676554,117384.22708
2018,126046.463403,132361.62102
2019,147967.587474,153834.08038
2020,158380.121407,163960.177537
2021,165504.48673,170847.599175
2022,170984.767747,176117.663069
2023,174820.96446,179769.745776
2024,178369.907789,183145.891221
2025,181662.890702,186270.099676
2026,186602.365072,191023.811856
2027,190444.17847,194697.882206
2028,193737.161383,197833.857256
2029,198127.805267,202057.55526
2030,200323.127209,204116.760585
2031,205262.601579,208889.921212
2032,210202.075948,213666.843626
2033,215141.550318,218447.448198
2034,220081.024687,223231.657036
2035,223374.0076,226392.365722
