year,Base case diesel consumed,Modeled residential ashp
2017,14325.639809,872.287202235
2018,14325.639809,872.287202235
2019,14325.639809,872.287202235
2020,14325.639809,872.287202235
2021,14325.639809,872.287202235
2022,14325.639809,872.287202235
2023,14325.639809,872.287202235
2024,14325.639809,872.287202235
2025,14325.639809,872.287202235
2026,14325.639809,872.287202235
2027,14325.639809,872.287202235
2028,14325.639809,872.287202235
2029,14325.639809,872.287202235
2030,14325.639809,872.287202235
2031,14325.639809,872.287202235
