year,Base case cost,Modeled transmission and interties
2021,165504.48673,
2022,170984.767747,
2023,174820.96446,
2024,178369.907789,
2025,181662.890702,
2026,186602.365072,
2027,190444.17847,
2028,193737.161383,
2029,198127.805267,
2030,200323.127209,
2031,205262.601579,
2032,210202.075948,
2033,215141.550318,
2034,220081.024687,
2035,223374.0076,
2036,228862.312455,
2037,231606.464883,
2038,237094.769738,
2039,240936.583137,
2040,246973.718477,
