year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,8190.15,512795.0,512795.0
2004,,8190.15,483743.0,483743.0
2005,,8190.15,435035.0,435035.0
2006,,8190.15,424372.0,424372.0
2007,,8190.15,190376.0,190376.0
2008,,8190.15,680000.0,680000.0
2009,,8190.15,677000.0,677000.0
2010,,8190.15,684000.0,684000.0
2011,,8190.15,494949.0,494949.0
2012,,8190.15,620300.0,620300.0
2013,,8190.15,732640.0,732640.0
2014,,8190.15,752976.0,752976.0
2015,,8190.15,647112.0,647112.0
2016,start of forecast,8190.15,683000.0,683000.0
2017,,8190.15,683000.0,683000.0
2018,,8190.15,683000.0,683000.0
2019,,8190.15,683000.0,683000.0
2020,,8190.15,683000.0,683000.0
2021,,8190.15,683000.0,683000.0
2022,,8190.15,683000.0,683000.0
2023,,8190.15,683000.0,683000.0
2024,,8190.15,684000.0,684000.0
2025,,8190.15,684000.0,684000.0
2026,,8190.15,684000.0,684000.0
2027,,8190.15,684000.0,684000.0
2028,,8190.15,684000.0,684000.0
2029,,8190.15,684000.0,684000.0
2030,,8190.15,684000.0,684000.0
2031,,8190.15,684000.0,684000.0
2032,,8190.15,684000.0,684000.0
2033,,8190.15,684000.0,684000.0
2034,,8190.15,684000.0,684000.0
2035,,8190.15,684000.0,684000.0
2036,,8190.15,684000.0,684000.0
2037,,8190.15,684000.0,684000.0
2038,,8190.15,684000.0,684000.0
2039,,8190.15,684000.0,684000.0
2040,,8190.15,684000.0,684000.0
