year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,41720.1300457,28501.3582338
2018,41720.1300457,28501.3582338
2019,41720.1300457,28501.3582338
2020,41720.1300457,28501.3582338
2021,41720.1300457,28501.3582338
2022,41720.1300457,28501.3582338
2023,41720.1300457,28501.3582338
2024,41720.1300457,28501.3582338
2025,41720.1300457,28501.3582338
2026,41720.1300457,28501.3582338
2027,41720.1300457,28501.3582338
2028,41720.1300457,28501.3582338
2029,41720.1300457,28501.3582338
2030,41720.1300457,28501.3582338
2031,41720.1300457,28501.3582338
