year,Base case cost,Modeled water and wastewater efficiency
2017,46791.5803955,35452.1343066
2018,49089.1609058,37001.4228735
2019,52222.5301717,39135.7431118
2020,53579.0773653,40030.3552685
2021,54621.9131805,40707.1007021
2022,55352.1262896,41166.7196931
2023,55766.4699561,41406.8887669
2024,56182.1183163,41649.1331323
2025,56698.8915692,41963.1039485
2026,57322.5538824,42352.848539
2027,57735.7761167,42596.6787363
2028,58145.6969251,42839.2255253
2029,58666.5951891,43160.3585597
2030,59079.059287,43406.7270382
2031,59595.4355323,43726.6431185
