year,Base case diesel consumed,Modeled transmission and interties
2021,41344.151295,20672.0756475
2022,41167.4668878,20583.7334439
2023,41167.4668878,20583.7334439
2024,41167.4668878,20583.7334439
2025,40990.7824805,20495.3912403
2026,40814.0980733,20407.0490366
2027,40814.0980733,20407.0490366
2028,40637.413666,20318.706833
2029,40637.413666,20318.706833
2030,40460.7292588,20230.3646294
2031,40284.0448516,20142.0224258
2032,40107.3604443,20053.6802222
2033,39753.9916298,19876.9958149
2034,39400.6228153,19700.3114077
2035,39223.9384081,19611.969204
2036,39047.2540008,19523.6270004
2037,38693.8851864,19346.9425932
2038,38517.2007791,19258.6003896
2039,38163.8319646,19081.9159823
2040,37810.4631501,18905.2315751
