year,Base case diesel consumed,Modeled residential ashp
2017,1345.97275659,-6945.12568909
2018,1194.57107165,-7096.52737403
2019,1194.57107165,-7096.52737403
2020,1194.57107165,-7096.52737403
2021,1194.57107165,-7096.52737403
2022,1194.57107165,-7096.52737403
2023,1194.57107165,-7096.52737403
2024,1194.57107165,-7096.52737403
2025,1194.57107165,-7096.52737403
2026,1194.57107165,-7096.52737403
2027,1194.57107165,-7096.52737403
2028,1194.57107165,-7096.52737403
2029,1194.57107165,-7096.52737403
2030,1194.57107165,-7096.52737403
2031,1194.57107165,-7096.52737403
