year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5390.20599322,3503.63389559
2018,5390.03219235,3503.52092503
2019,5389.85050985,3503.4028314
2020,5389.65592521,3503.27635139
2021,5389.44900527,3503.14185343
2022,5389.33048382,3503.06481449
2023,5388.98841543,3502.84247003
2024,5388.77366784,3502.7028841
2025,5388.25091564,3502.36309516
2026,5387.96069869,3502.17445415
2027,5387.53800547,3501.89970356
2028,5386.82255806,3501.43466274
2029,5386.70479239,3501.35811505
2030,5386.23310887,3501.05152076
2031,5385.72306985,3500.7199954
