year,Base case cost,"Karluk (unnamed stream, site #1) -- unnamed creek, 1","Karluk (unnamed stream, site #2) -- unnamed creek, 2","Karluk (unnamed stream, site #3) -- unnamed creek, 3"
2021,68011.1288803,509155.712458,311830.441714,318448.866562
2022,69161.3443715,498209.480305,305088.419293,311595.373171
2023,69984.6937092,487933.041385,298848.1602,305243.234256
2024,70808.043047,477893.17805,292752.17625,299038.092543
2025,71528.9154285,467730.400899,286467.645707,292648.127925
2026,72445.0240801,457737.008676,280288.979789,286367.689317
2027,73261.3060415,448367.054961,274598.781513,280576.122637
2028,73756.9058039,438891.583304,268719.118523,274597.566943
2029,74772.8411455,429895.101385,263260.970179,269044.008999
2030,75256.9564214,420823.464315,257623.1042,263312.029014
2031,75935.4245452,411895.099981,252074.833708,257673.015618
2032,76805.5952509,403102.661059,246610.643946,252121.40001
2033,77321.51372,394147.074312,240908.746587,246334.275669
2034,77816.2300603,385356.911423,235299.460578,240641.910015
2035,78055.6374321,377248.095775,230226.902268,235485.172804
2036,78875.4530817,369143.263786,225162.402075,230341.737822
2037,78935.5257802,360955.433939,219898.083071,224998.35305
2038,79730.6056128,353169.409893,215018.356528,220043.644563
2039,79762.4088061,345288.802489,209930.367106,214880.449572
2040,80347.2341941,337368.684972,204813.226475,209693.162148
2041,79596.3254633,330031.189043,200045.500875,204849.650683
2042,79220.8710979,323223.520461,195747.373692,200477.513864
2043,78469.9623671,316191.152877,191165.729995,195823.595137
2044,77719.0536363,309306.006929,186673.869115,191261.153173
2045,76968.1449055,302564.632277,182269.686869,186788.044087
2046,76217.2361747,295963.658915,177951.128066,182402.173914
2047,75466.3274439,289499.796666,173716.186198,178101.498289
2048,74715.4187132,283169.831618,169562.901266,173884.020233
2049,73964.5099824,276970.625619,165489.359475,169747.789845
2050,73213.6012516,270899.114242,161493.691992,165690.903028
