year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,236878.98,48581.66,314522.85,169898.76
2018,243603.06,49363.45,314522.85,174839.98
2019,250689.11,50161.97,314522.85,180398.85
2020,257627.8,50973.33,314522.85,185340.07
2021,264743.77,51797.61,314522.85,190898.94
2022,272040.3,52638.97,314522.85,196457.81
2023,279506.83,53498.62,314522.85,202634.34
2024,287074.43,54374.58,314522.85,208193.21
2025,294717.69,55261.93,314522.85,214369.73
2026,302501.48,56158.25,314522.85,219928.61
2027,310366.06,57063.43,314522.85,226105.13
2028,318304.68,57980.57,314522.85,232281.65
2029,326391.67,58921.6,314522.85,238458.18
2030,334629.65,59874.63,314522.85,245252.35
2031,343017.06,60841.65,314522.85,251428.88
