year,Base case cost,Modeled non-residential energy efficiency
2017,2255751.069,2327466.62018
2018,2369263.17217,2425676.44217
2019,2522067.92643,2560487.91544
2020,2596287.3785,2622587.97743
2021,2644311.72984,2660554.70769
2022,2683604.38093,2690578.36663
2023,2709799.48166,2708606.85889
2024,2731628.73227,2722733.63821
2025,2753457.98288,2737003.75342
2026,2788384.78386,2763559.31081
2027,2814579.88459,2782154.58683
2028,2836409.13519,2796834.86596
2029,2862604.23593,2815693.99719
2030,2880067.63641,2826583.45891
2031,2914994.43739,2853791.19897
