year,Base case cost,Hooper bay wind farm construction,Modeled wind power
2019,696915.717638,795963.8819,883630.729113
2020,760001.995732,850847.315873,934360.179589
2021,810115.93027,894469.952259,974579.796994
2022,856926.93445,935414.325408,1012404.1926
2023,897216.937439,970731.664193,1045000.11382
2024,935862.654767,1004754.34918,1076465.43857
2025,975515.550101,1039860.78016,1109060.7737
2026,1025480.02263,1084539.88254,1150923.91219
2027,1070762.91968,1125152.88319,1188998.43552
2028,1114066.37077,1164128.97364,1225595.81833
2029,1161954.34122,1207487.99539,1266501.52704
2030,1204666.74558,1246281.90979,1303116.58477
2031,1262302.79379,1298980.97453,1353210.18998
2032,1318046.9535,1350124.23279,1401903.85887
2033,1375262.76628,1402802.47957,1452170.78521
2034,1438235.13648,1461027.90854,1507905.58314
2035,1491874.75261,1510794.66414,1555568.25196
2036,1558909.11981,1573201.47737,1615556.57106
2037,1612176.28643,1622983.59904,1663421.73489
2038,1683334.61453,1689628.22976,1727716.66663
