year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,48581.6604713,
2018,49363.4548786,
2019,50161.9721609,
2020,50973.334864,
2021,51797.6079733,
2022,52638.9722074,
2023,53498.6189629,
2024,54374.5770201,
2025,55261.9291605,
2026,56158.2492676,
2027,57063.4290325,
2028,57980.5660864,
2029,58921.5960562,
2030,59874.6266384,
2031,60841.6507145,
