year,Base case diesel consumed,Modeled residential ashp
2017,29912.0864524,-139986.674956
2018,30782.0290726,-139116.732336
2019,31760.7145203,-138138.046888
2020,32630.6571405,-137268.104268
2021,33609.3425882,-136289.41882
2022,34588.0280359,-135310.733373
2023,35675.4563111,-134223.305097
2024,36654.1417589,-133244.61965
2025,37741.5700341,-132157.191374
2026,38720.2554818,-131178.505927
2027,39807.683757,-130091.077651
2028,40895.1120323,-129003.649376
2029,41982.5403075,-127916.221101
2030,43178.7114102,-126720.049998
2031,44266.1396855,-125632.621723
