year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10916.8988481,7095.98425128
2018,10908.8268084,7090.73742546
2019,10903.1594332,7087.05363157
2020,10896.1856392,7082.5206655
2021,10888.2497126,7077.36231319
2022,10880.6167043,7072.40085779
2023,10872.3311538,7067.01525
2024,10864.8529408,7062.15441153
2025,10857.5255197,7057.39158783
2026,10850.6758289,7052.93928878
2027,10843.4578321,7048.24759084
2028,10836.1224043,7043.47956281
2029,10835.4445078,7043.03893006
2030,10833.4641958,7041.7517273
2031,10829.7130793,7039.31350158
