year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,1333374.0,1146293.56472
2018,1330356.0,1143275.56472
2019,1327340.0,1140259.56472
2020,1324323.0,1137242.56472
2021,1319800.0,1132719.56472
2022,1316783.0,1129702.56472
2023,1312259.0,1125178.56472
2024,1309241.0,1122160.56472
2025,1306224.0,1119143.56472
2026,1301702.0,1114621.56472
2027,1298684.0,1111603.56472
2028,1295667.0,1108586.56472
2029,1295666.0,1108585.56472
2030,1294159.0,1107078.56472
2031,1292651.0,1105570.56472
2032,1288128.0,1101047.56472
2033,1283604.0,1096523.56472
2034,1280584.0,1093503.56472
2035,1276061.0,1088980.56472
2036,1274551.0,1087470.56472
