year,Base case cost,Modeled biomass for heat (cordwood)
2017,4681199.03128,4992967.24954
2018,5029799.58044,5284805.97568
2019,5536059.31118,5714149.21992
2020,5761854.17113,5898991.10467
2021,5913749.53804,6018679.49191
2022,6031909.28799,6109971.11543
2023,6103043.9141,6159570.92163
2024,6154469.87326,6193089.21941
2025,6231723.26321,6249253.89194
2026,6314285.9009,6309242.32162
2027,6390554.09006,6364847.22981
2028,6440491.41001,6397728.00075
2029,6544139.71922,6479418.02562
2030,6601236.12538,6519854.10139
2031,6696956.21075,6594002.83468
2032,6789455.00766,6663416.23973
2033,6868298.26377,6721057.15112
2034,6967391.43135,6797425.2856
2035,7019346.38825,6831931.27304
2036,7125749.78204,6915953.29856
