year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,1333374.0,1163300.87702
2018,1330356.0,1160282.87702
2019,1327340.0,1157266.87702
2020,1324323.0,1154249.87702
2021,1319800.0,1149726.87702
2022,1316783.0,1146709.87702
2023,1312259.0,1142185.87702
2024,1309241.0,1139167.87702
2025,1306224.0,1136150.87702
2026,1301702.0,1131628.87702
2027,1298684.0,1128610.87702
2028,1295667.0,1125593.87702
2029,1295666.0,1125592.87702
2030,1294159.0,1124085.87702
2031,1292651.0,1122577.87702
2032,1288128.0,1118054.87702
2033,1283604.0,1113530.87702
2034,1280584.0,1110510.87702
2035,1276061.0,1105987.87702
2036,1274551.0,1104477.87702
