year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,652658.149317,482967.030495
2018,652658.149317,482967.030495
2019,652658.149317,482967.030495
2020,652658.149317,482967.030495
2021,652658.149317,482967.030495
2022,652658.149317,482967.030495
2023,652658.149317,482967.030495
2024,652658.149317,482967.030495
2025,652658.149317,482967.030495
2026,652658.149317,482967.030495
2027,652658.149317,482967.030495
2028,652658.149317,482967.030495
2029,652658.149317,482967.030495
2030,652658.149317,482967.030495
2031,652658.149317,482967.030495
