year,annotation,Average Load
2003,,1321.0
2004,,1322.0
2005,,1297.0
2006,,1259.0
2007,,1241.0
2008,,1227.0
2009,,1245.0
2010,,1108.0
2011,,1050.0
2012,,1035.0
2013,,1010.0
2014,start of forecast,1031.0
2015,,1030.0
2016,,1030.0
2017,,1030.0
2018,,1029.0
2019,,1029.0
2020,,1029.0
2021,,1028.0
2022,,1028.0
2023,,1028.0
2024,,1027.0
2025,,1027.0
2026,,1026.0
2027,,1026.0
2028,,1026.0
2029,,1026.0
2030,,1026.0
2031,,1025.0
2032,,1025.0
2033,,1025.0
2034,,1024.0
2035,,1024.0
2036,,1024.0
2037,,1024.0
2038,,1023.0
2039,,1023.0
2040,,1023.0
