year,Base case cost,Modeled biomass for heat (pellet)
2017,4681199.03128,4866746.06913
2018,5029799.58044,5159536.72862
2019,5536059.31118,5587661.09339
2020,5761854.17113,5774728.74429
2021,5913749.53804,5897369.3473
2022,6031909.28799,5992002.39424
2023,6103043.9141,6045335.66773
2024,6154469.87326,6082812.17331
2025,6231723.26321,6142482.20643
2026,6314285.9009,6205695.86405
2027,6390554.09006,6264588.59335
2028,6440491.41001,6300992.37069
2029,6544139.71922,6385592.68171
2030,6601236.12538,6429349.16442
2031,6696956.21075,6506210.33282
2032,6789455.00766,6578070.63846
2033,6868298.26377,6638235.29952
2034,6967391.43135,6716866.07144
2035,7019346.38825,6754056.01034
2036,7125749.78204,6840164.94631
