year,Base case diesel consumed,"Sand point (unnamed stream, site #2) -- unnamed creek",Sand point -- humbolt creek
2021,261817.224657,250722.956573,246187.098045
2022,261951.154303,250856.886219,246321.02769
2023,262021.73618,250927.468096,246391.609567
2024,261930.03838,250835.770296,246299.911767
2025,261899.22386,250804.955776,246269.097247
2026,261904.720077,250810.451993,246274.593464
2027,261820.10198,250725.833895,246189.975367
2028,261692.231054,250597.962969,246062.104441
2029,261623.233452,250528.965367,245993.106839
2030,261552.210941,250457.942857,245922.084328
2031,261417.301199,250323.033114,245787.174586
2032,261211.62609,250117.358005,245581.499477
2033,261074.423636,249980.155551,245444.297023
2034,260869.548471,249775.280387,245239.421858
2035,260664.157863,249569.889779,245034.03125
2036,260458.86209,249364.594005,244828.735477
2037,260253.674908,249159.406823,244623.548295
2038,260048.38372,248954.115636,244418.257107
2039,259843.125672,248748.857588,244212.999059
2040,259637.8802,248543.612116,244007.753587
2041,259364.196203,248269.928118,243734.06959
2042,259158.940062,248064.671978,243528.813449
2043,258953.684556,247859.416472,243323.557944
2044,258748.425707,247654.157623,243118.299094
2045,258474.74978,247380.481696,242844.623168
2046,258269.492718,247175.224634,242639.366105
2047,258064.235137,246969.967052,242434.108524
2048,257858.977978,246764.709894,242228.851365
2049,257653.720711,246559.452627,242023.594098
2050,257448.463375,246354.195291,241818.336762
