year,Base case cost,"Sand point (unnamed stream, site #2) -- unnamed creek",Sand point -- humbolt creek
2021,853524.152383,1025213.141,1237743.48885
2022,880155.878459,1050840.5501,1262960.28592
2023,901354.772459,1071235.99051,1283027.23673
2024,916755.134331,1086033.76219,1297578.6412
2025,934980.22918,1103555.83515,1314813.28575
2026,961190.322683,1128761.61167,1339608.45025
2027,979207.181404,1146075.4485,1356634.85868
2028,997047.400314,1163212.64552,1373484.62729
2029,1017714.37813,1183076.16975,1393019.6619
2030,1030515.71111,1195375.34424,1405113.53039
2031,1056125.89684,1219981.21299,1429308.78712
2032,1078804.01575,1241755.44661,1450713.46993
2033,1104344.81198,1266291.92585,1474839.33716
2034,1129565.14488,1290507.94177,1498644.74106
2035,1144315.65302,1304655.85972,1512546.29181
2036,1169460.29078,1328796.1805,1536276.00057
2037,1186756.75758,1345389.62541,1552582.01707
2038,1211825.46814,1369454.01898,1576235.79863
2039,1231656.41569,1388481.51294,1594934.80298
2040,1259243.71897,1414964.06754,1620965.68437
2041,1257916.35158,1413636.70016,1619638.31698
2042,1256920.8593,1412641.20787,1618642.8247
2043,1255925.3701,1411645.71867,1617647.3355
2044,1254929.86468,1410650.21325,1616651.83008
2045,1253602.53643,1409322.88501,1615324.50183
2046,1252607.03968,1408327.38825,1614329.00508
2047,1251611.54041,1407331.88899,1613333.50581
2048,1250616.04319,1406336.39177,1612338.00859
2049,1249620.54545,1405340.89402,1611342.51084
2050,1248625.04737,1404345.39594,1610347.01277
