year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,286207.271447,210305.420871
2018,286207.271447,210305.420871
2019,286207.271447,210305.420871
2020,286207.271447,210305.420871
2021,286207.271447,210305.420871
2022,286207.271447,210305.420871
2023,286207.271447,210305.420871
2024,286207.271447,210305.420871
2025,286207.271447,210305.420871
2026,286207.271447,210305.420871
2027,286207.271447,210305.420871
2028,286207.271447,210305.420871
2029,286207.271447,210305.420871
2030,286207.271447,210305.420871
2031,286207.271447,210305.420871
