year,Base case diesel consumed,Modeled diesel efficiency
2019,261739.408673,237944.916976
2020,262296.829579,238451.663253
2021,261817.224657,238015.65878
2022,261951.154303,238137.413003
2023,262021.73618,238201.578345
2024,261930.03838,238118.216709
2025,261899.22386,238090.203509
2026,261904.720077,238095.20007
2027,261820.10198,238018.274527
2028,261692.231054,237902.028231
2029,261623.233452,237839.303138
2030,261552.210941,237774.737219
2031,261417.301199,237652.091999
2032,261211.62609,237465.114627
2033,261074.423636,237340.385123
2034,260869.548471,237154.134973
2035,260664.157863,236967.416239
2036,260458.86209,236780.783718
2037,260253.674908,236594.249916
2038,260048.38372,236407.621564
