year,Base case cost,Modeled residential energy efficiency
2017,1298435.22851,1369711.2617
2018,1387517.91128,1441539.14926
2019,1522046.21653,1551335.58138
2020,1581716.82621,1599502.99426
2021,1626469.78348,1635628.55392
2022,1656305.08833,1659712.26036
2023,1680173.3322,1678979.22551
2024,1690399.03268,1685753.96695
2025,1711184.99199,1702513.80738
2026,1740879.21958,1726456.43656
2027,1753651.11104,1735202.20915
2028,1766225.49435,1743750.47357
2029,1789755.15282,1762678.85331
2030,1796164.967,1766212.86829
2031,1816998.66321,1781294.9661
2032,1826087.05163,1785206.91596
2033,1846229.46929,1799597.73521
2034,1857243.30878,1804859.9763
2035,1856435.88814,1800601.59662
2036,1866433.97138,1804848.08146
