year,Base case cost,Modeled water and wastewater efficiency
2017,74852.8057985,141219.182374
2018,78334.3054145,143542.481425
2019,83209.0233194,146801.115407
2020,85393.5540938,148251.24331
2021,86627.9411878,149065.644025
2022,87553.8179359,149672.645462
2023,87883.9501881,149879.087392
2024,88158.7106749,150047.013539
2025,88455.1148988,150230.396603
2026,89016.4520112,150591.628108
2027,89387.8244673,150824.187219
2028,89673.5076006,151000.969621
2029,89827.9434867,151082.497901
2030,89803.5394337,151046.849893
2031,90186.7194179,151285.35423
