year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,831719.0,593311.759102
2018,831719.0,593311.759102
2019,831719.0,593311.759102
2020,831719.0,593311.759102
2021,831719.0,593311.759102
2022,831719.0,593311.759102
2023,831719.0,593311.759102
2024,831719.0,593311.759102
2025,831719.0,593311.759102
2026,831719.0,593311.759102
2027,831719.0,593311.759102
2028,831719.0,593311.759102
2029,831719.0,593311.759102
2030,831719.0,593311.759102
2031,831719.0,593311.759102
2032,,
2033,,
2034,,
2035,,
2036,,
