year,Base case cost,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (mary's creek),"Flemming creek, knights island"
2018,1531272.28044,,,,,,,,,,,,,,,,,1498661.93298,,
2019,1785313.35278,,,,,,,,,,,,,,,,,1685446.5501,,
2020,1912510.8811,,,,,,,,,,,,,,,,,1778106.97979,,
2021,1991099.30945,4602472.49814,5345149.70148,8761059.80312,8669912.19139,2592840.70218,2415689.95868,2273185.31594,2273395.33878,15211639.1567,2406726.62423,2645955.65685,4137510.02261,4088020.47331,82452330.1448,2559841.26945,12054436.8281,1834882.50374,4015767.54874,2255664.12126
2022,2055512.00367,4649746.48176,5380997.87804,8760154.08912,8670317.14228,2656075.96149,2478689.73101,2335478.62733,2311455.96706,15212950.8575,2468963.22156,2706509.54442,4175077.20095,4143272.72395,82408837.4455,2620556.15702,12050561.3356,1881117.77763,4075705.99032,2318310.66312
2023,2091621.52824,4675572.77997,5399968.69201,8757072.56876,8668022.02085,2691479.02512,2513951.50245,2370316.5222,2331754.25208,15211199.786,2503767.088,2740303.78499,4195079.41599,4173885.98238,82380203.734,2654446.99761,12045697.9482,1906320.85,4109130.9633,2353360.49627
2024,2127288.81867,4700956.84404,5418497.27184,8753548.81425,8665284.66528,2726439.8546,2548771.03974,2404712.18292,2351610.30294,15209006.4803,2538128.72029,2773655.79142,4214639.39688,4204057.00666,82351127.7884,2687895.60404,12040392.3265,1931081.68823,4142113.70214,2387968.09528
2025,2162977.23973,4726362.03875,5437046.9823,8750046.19038,8662568.44034,2761421.81472,2583611.70767,2439128.97429,2371487.48445,15206834.3053,2572511.48322,2807028.92849,4234220.50841,4234249.16157,82322072.9734,2721365.34112,12035107.8356,1955863.65709,4175117.57162,2422596.82493
2026,2212112.38778,4761786.21832,5463330.51622,8746926.61185,8660497.39372,2809615.01485,2631616.51821,2486568.61607,2399540.97975,15205488.6586,2619905.75376,2853077.03122,4261879.24375,4276055.95476,82284883.8067,2767542.24385,12029612.4342,1990456.86888,4220673.31755,2470319.05109
2027,2253909.87439,4791586.60751,5485132.84047,8743001.21271,8657489.46,2850588.29702,2672424.9595,2526882.5347,2422892.02021,15203115.4498,2660179.97255,2892173.35317,4284884.86924,4311441.13087,82251147.5179,2806751.2658,12023608.1901,2019530.16126,4259338.82731,2510880.23105
2028,2289171.15463,4816564.66138,5503255.4101,8739071.44801,8654346.09423,2885143.11631,2706838.4866,2560872.18524,2442342.06088,15200516.1339,2694135.59464,2925119.3494,4304038.83994,4341206.14495,82221665.562,2839793.86205,12017896.5583,2043884.98929,4291915.55595,2545081.81987
2029,2328153.73787,4843550.14721,5522242.83098,8732331.14549,8648523.25714,2923301.49512,2744832.02452,2598371.20049,2462878.19797,15195328.0218,2731594.91006,2961400.76799,4324229.56206,4373776.41769,82185114.3698,2876187.98063,12009077.4108,2070143.3783,4327766.16234,2582828.09646
2030,2354355.20935,4861182.26338,5534162.04362,8725873.41286,8642720.85695,2948914.24914,2770327.03506,2623512.98056,2475903.63649,15189978.9965,2756708.3331,2985672.83613,4337008.2756,4395397.66738,82157363.1446,2900540.54879,12001134.7889,2087256.13961,4351730.50749,2608146.49175
2031,2401049.01359,4894165.09915,5558004.23374,8720312.49053,8638208.46653,2994666.10546,2815890.50179,2668511.27853,2501515.78798,15186192.006,2801661.25983,3029279.59505,4362225.66713,4434763.11676,82117732.6341,2944276.10771,11993198.0438,2119408.00759,4394844.90962,2653427.37411
2032,2448794.06727,4928199.18435,5582897.67328,8715802.81763,8634747.32554,3041469.21121,2862505.21796,2714560.82595,2528179.18892,15183456.2649,2847665.43599,3073937.6034,4388494.3081,4475179.81557,82079153.373,2989062.91607,11986312.5481,2152611.125,4439010.56118,2699759.5059
2033,2503812.63579,4967792.91333,5612208.17591,8712034.81875,8632158.92506,3095428.08832,2916252.15678,2767671.94992,2559480.8981,15181683.9393,2900725.51731,3125483.24593,4419351.91233,4521953.98487,82037057.0874,3040753.45861,11979871.7485,2191270.01523,4490002.30232,2753188.5373
2034,2558862.14562,5007417.58362,5641549.61983,8708297.76117,8629601.46589,3149417.90673,2970030.0369,2820814.01519,2590813.54858,15179942.555,2953816.53993,3177059.82976,4450240.45785,4568759.09547,81994991.7431,3092474.94244,11973461.8903,2229959.84675,4541024.98476,2806648.51
2035,2592490.3291,5030762.54074,5658039.09272,8702734.89972,8624825.00337,3182339.62926,3002810.46725,2853170.56897,2608630.4925,15175710.1424,2986139.06528,3208372.72925,4467761.3318,4596891.01281,81963876.6905,3123884.44193,11966117.1617,2252681.57804,4571968.61665,2839217.00206
2036,2645862.97155,5068710.34365,5685703.66927,8697320.97478,8620590.67682,3234652.5803,3054911.48,2904635.76688,2638286.27562,15172291.8907,3037553.22053,3258272.44571,4496973.00995,4642019.25604,81920134.4788,3173929.0584,11958030.4361,2289694.54219,4621314.43172,2891000.10739
2037,2671803.32867,5086081.34547,5697361.76756,8690602.12778,8614527.16227,3260004.21997,3080145.37618,2929516.43258,2651050.59977,15166681.7511,3062405.5292,3282283.3995,4509490.60913,4663379.39137,81892122.1392,3198020.51219,11949826.6999,2306546.18914,4645017.66252,2916057.38833
2038,2724631.10243,5123484.27969,5724481.47542,8684643.33414,8609747.96703,3311772.30231,3131701.52024,2980436.76179,2680161.51419,15162718.6308,3113274.81576,3331638.24726,4538157.41859,4707962.7659,81847835.0589,3247520.25997,11941195.1056,2343014.2846,4693818.60889,2967295.62496
2039,2763650.66429,5150506.74414,5743505.87492,8677940.01025,8603962.10856,3349967.65974,3169732.03678,3017972.75567,2700734.6299,15157567.4972,3150771.1098,3367956.64447,4558385.11933,4740570.01726,81811320.8453,3283951.35718,11932412.9367,2369309.65223,4729706.1939,3005078.88017
2040,2822486.37838,5192203.74763,5773777.07134,8671457.31612,8598790.07931,3407625.93892,3227154.82898,3074689.08693,2733218.27806,15153302.2178,3207430.727,3422933.55189,4590375.31753,4790245.28777,81762251.166,3339089.26462,11922960.4641,2409967.94599,4784067.65534,3062148.4419
2041,2816982.60083,5186699.97008,5768273.29379,8665953.53856,8593286.30176,3402122.16137,3221651.05143,3069185.30937,2727714.50051,15147798.4403,3201926.94945,3417429.77434,4584871.53998,4784741.51022,81756747.3884,3333585.48706,11917456.6865,2404464.16844,4778563.87779,3056644.66435
2042,2811155.07165,5180872.4409,5762445.76462,8660126.00939,8587458.77259,3396294.63219,3215823.52225,3063357.7802,2721886.97133,15141970.9111,3196099.42027,3411602.24517,4579044.0108,4778913.98105,81750919.8592,3327757.95789,11911629.1573,2398636.63927,4772736.34862,3050817.13517
2043,2805651.2941,5175368.66335,5756941.98706,8654622.23184,8581954.99503,3390790.85464,3210319.7447,3057854.00265,2716383.19378,15136467.1336,3190595.64272,3406098.46762,4573540.23325,4773410.20349,81745416.0817,3322254.18034,11906125.3798,2393132.86171,4767232.57107,3045313.35762
2044,2799823.76493,5169541.13418,5751114.45789,8648794.70267,8576127.46586,3384963.32547,3204492.21553,3052026.47348,2710555.66461,15130639.6044,3184768.11355,3400270.93844,4567712.70408,4767582.67432,81739588.5525,3316426.65116,11900297.8506,2387305.33254,4761405.04189,3039485.82845
2045,2794643.739,5164361.10825,5745934.43196,8643614.67673,8570947.43993,3379783.29954,3199312.1896,3046846.44754,2705375.63867,15125459.5785,3179588.08762,3395090.91251,4562532.67815,4762402.64839,81734408.5266,3311246.62523,11895117.8247,2382125.30661,4756225.01596,3034305.80252
2046,2789787.46469,5159504.83393,5741078.15765,8638758.40242,8566091.16562,3374927.02523,3194455.91529,3041990.17323,2700519.36436,15120603.3041,3174731.8133,3390234.6382,4557676.40384,4757546.37408,81729552.2523,3306390.35092,11890261.5504,2377269.0323,4751368.74165,3029449.5282
2047,2785254.942,5154972.31124,5736545.63496,8634225.87973,8561558.64293,3370394.50254,3189923.3926,3037457.65054,2695986.84167,15116070.7815,3170199.29061,3385702.11551,4553143.88115,4753013.85139,81725019.7296,3301857.82823,11885729.0277,2372736.50961,4746836.21896,3024917.00551
2048,2781369.92255,5151087.2918,5732660.61551,8630340.86028,8557673.62348,3366509.48309,3186038.37315,3033572.63109,2692101.82222,15112185.762,3166314.27117,3381817.09606,4549258.8617,4749128.83194,81721134.7101,3297972.80878,11881844.0082,2368851.49016,4742951.19951,3021031.98607
