year,Base case diesel consumed,Modeled residential energy efficiency
2017,936275.145459,690446.05983
2018,926252.755018,680423.669389
2019,916230.364576,670401.278947
2020,904955.17533,659126.089701
2021,893679.986083,647850.900454
2022,882404.796836,636575.711207
2023,871129.60759,625300.521961
2024,858601.619538,612772.533909
2025,846073.631486,600244.545857
2026,834798.442239,588969.35661
2027,822270.454188,576441.368559
2028,810995.264941,565166.179312
2029,793456.081668,547626.996039
2030,778422.496006,532593.410377
2031,764641.709149,518812.62352
2032,752113.721097,506284.635468
2033,743344.129461,497515.043832
2034,733321.73902,487492.653391
2035,722046.549773,476217.464144
2036,710771.360526,464942.274897
