year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,11277.7686457,7330.54961973
2018,11224.87801,7296.17070651
2019,11174.0171655,7263.11115755
2020,11109.2743847,7221.02835008
2021,11052.0758412,7183.84929675
2022,10993.2982712,7145.64387628
2023,10931.1764043,7105.26466282
2024,10863.4591158,7061.24842527
2025,10799.6043687,7019.74283966
2026,10736.0978172,6978.46358117
2027,10667.6355521,6933.96310886
2028,10606.2694585,6894.07514805
2029,10515.3310351,6834.96517279
2030,10436.0261222,6783.41697942
2031,10359.5040746,6733.67764848
