year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,697466.72,11277.77,831719.41,936275.15
2018,696032.85,11224.88,831719.41,926252.76
2019,694674.46,11174.02,831719.41,916230.36
2020,692938.73,11109.27,831719.41,904955.18
2021,691353.93,11052.08,831719.41,893679.99
2022,689769.13,10993.3,831719.41,882404.8
2023,688033.4,10931.18,831719.41,871129.61
2024,686222.2,10863.46,831719.41,858601.62
2025,684486.47,10799.6,831719.41,846073.63
2026,682750.74,10736.1,831719.41,834798.44
2027,680939.54,10667.64,831719.41,822270.45
2028,679279.27,10606.27,831719.41,810995.26
2029,676788.88,10515.33,831719.41,793456.08
2030,674600.35,10436.03,831719.41,778422.5
2031,672562.75,10359.5,831719.41,764641.71
2032,670902.48,,,752113.72
2033,669468.62,,,743344.13
2034,668110.22,,,733321.74
2035,666449.96,,,722046.55
2036,664789.69,,,710771.36
