year,Base case cost,Modeled non-residential energy efficiency
2017,9166044.83377,8170578.86989
2018,9520051.99496,8490930.87162
2019,10005172.9196,8929931.76287
2020,10254289.07,9155364.65297
2021,10411625.5861,9297743.32041
2022,10542739.3495,9416392.20994
2023,10621407.6075,9487581.54365
2024,10700075.8656,9558770.87737
2025,10778744.1236,9629960.21109
2026,10883635.1344,9724879.32271
2027,10975414.7687,9807933.54538
2028,11054083.0268,9879122.87909
2029,11145862.6612,9962177.10176
2030,11211419.5429,10021501.5465
2031,11316310.5536,10116420.6582
