year,Base case cost,Modeled residential energy efficiency
2017,5545113.29982,5243057.27682
2018,5772468.20179,5404038.32568
2019,6097878.14458,5638491.50678
2020,6221378.39502,5715284.23096
2021,6268983.63483,5733389.98049
2022,6293500.80215,5733324.23925
2023,6275873.20343,5700946.89538
2024,6248003.04903,5658326.99585
2025,6218453.15342,5614027.3551
2026,6215122.98146,5591030.85629
2027,6191378.00626,5550077.8451
2028,6165561.66908,5509511.76279
2029,6101308.40004,5428050.45774
2030,6035180.0577,5349630.66113
2031,6002868.0834,5297652.35998
2032,5977593.15861,5252711.10834
2033,5987395.04552,5240388.37754
2034,5985680.573,5216549.28731
2035,5947350.16374,5163469.13291
2036,5931851.68114,5125846.03261
