year,Base case cost,Modeled solar power (pv)
2016,1096326.05778,1194024.67114
2017,1346110.76908,1440425.38335
2018,1531272.28044,1623130.4478
2019,1785313.35278,1873794.14824
2020,1912510.8811,1999386.66157
2021,1991099.30945,2077059.74617
2022,2055512.00367,2140761.22693
2023,2091621.52824,2176545.18135
2024,2127288.81867,2211893.97552
2025,2162977.23973,2247270.88189
2026,2212112.38778,2295919.61682
2027,2253909.87439,2337330.56603
2028,2289171.15463,2372302.89634
2029,2328153.73787,2410914.4044
2030,2354355.20935,2436928.77904
2031,2401049.01359,2483178.55526
2032,2448794.06727,2530488.72138
2033,2503812.63579,2584995.50019
2034,2558862.14562,2639543.50121
2035,2592490.3291,2672933.99151
