year,Base case cost,Modeled biomass for heat (pellet)
2017,2397480.26597,2814829.76388
2018,2622044.39597,2975023.93884
2019,2929780.42597,3194549.28971
2020,3087807.03597,3307278.52393
2021,3187613.31597,3378475.93503
2022,3270785.21597,3437807.11094
2023,3320688.35597,3473405.81648
2024,3370591.49597,3509004.52203
2025,3420494.63597,3544603.22758
2026,3487032.15597,3592068.1683
2027,3545252.48597,3633599.99144
2028,3595155.62597,3669198.69699
2029,3653375.95597,3710730.52012
2030,3694961.90597,3740396.10808
2031,3761499.42597,3787861.04881
2032,,
2033,,
2034,,
2035,,
2036,,
