year,Base case cost,Elim wind feasibility,Modeled wind power
2019,246045.452696,402535.859844,452927.611674
2020,261411.664629,410388.509913,459062.812062
2021,272433.993415,415004.119897,462171.178938
2022,280732.05552,417597.463793,463393.37229
2023,286986.368218,418645.513635,463169.011466
2024,292562.361222,419310.207844,462622.696393
2025,297934.711811,419862.785172,461988.341208
2026,305445.307747,422240.504375,463129.14681
2027,312054.163353,424005.010721,463716.447728
2028,317752.48831,425145.468126,463738.869713
2029,324428.73637,427145.8487,464606.365787
2030,329237.041425,427762.061146,464184.571755
2031,336932.234081,430740.821099,466035.968157
2032,344668.448231,433838.127705,468026.305035
2033,352176.846587,436783.326634,469884.450063
2034,359989.976037,440107.190414,472140.709007
2035,365635.559074,441738.192546,472796.593074
2036,374487.41134,446042.246796,476033.836991
2037,379217.336041,447098.19739,476188.077713
2038,388145.371081,451614.532918,479673.405074
